"CountyState","lon","lat","MajorClassAdmission","Admissions","CountryofBirth","originlon","originlat","GEOID","level"
"Ada County, Idaho",-116.2420304,43.478767,"EmploymentPreference2nd","D","Bangladesh",90.356331,23.684994,"16001","county"
"Cuyahoga County, Ohio",-81.67582,41.433923,"EmploymentPreference2nd","D","Bangladesh",90.356331,23.684994,"39035","county"
"Bergen County, New Jersey",-74.07701,40.9262762,"ImmediateRelatives-Spouses","D","Bangladesh",90.356331,23.684994,"34003","county"
"Bergen County, New Jersey",-74.07701,40.9262762,"ImmediateRelatives-Children","D","Bangladesh",90.356331,23.684994,"34003","county"
"Bergen County, New Jersey",-74.07701,40.9262762,"ImmediateRelatives-Parents","9","Bangladesh",90.356331,23.684994,"34003","county"
"Bergen County, New Jersey",-74.07701,40.9262762,"FamilyPreference4th","18","Bangladesh",90.356331,23.684994,"34003","county"
"Bergen County, New Jersey",-74.07701,40.9262762,"FamilyPreference2nd","D","Bangladesh",90.356331,23.684994,"34003","county"
"Bergen County, New Jersey",-74.07701,40.9262762,"EmploymentPreference2nd","D","Bangladesh",90.356331,23.684994,"34003","county"
"Bergen County, New Jersey",-74.07701,40.9262762,"EmploymentPreference1st","4","Bangladesh",90.356331,23.684994,"34003","county"
"Santa Clara County, California",-121.8907041,37.3336581,"ImmediateRelatives-Parents","17","Bangladesh",90.356331,23.684994,"06085","county"
"Santa Clara County, California",-121.8907041,37.3336581,"FamilyPreference4th","27","Bangladesh",90.356331,23.684994,"06085","county"
"Santa Clara County, California",-121.8907041,37.3336581,"FamilyPreference2nd","D","Bangladesh",90.356331,23.684994,"06085","county"
"Santa Clara County, California",-121.8907041,37.3336581,"FamilyPreference1st","D","Bangladesh",90.356331,23.684994,"06085","county"
"Kings County, New York",-73.9441579,40.6781784,"RefugeeandAsyleeAdjustments","26","Bangladesh",90.356331,23.684994,"36047","county"
"Erie County, New York",-78.8661589,42.9023958,"RefugeeandAsyleeAdjustments","D","Bangladesh",90.356331,23.684994,"36029","county"
"Erie County, New York",-78.8661589,42.9023958,"Other","D","Bangladesh",90.356331,23.684994,"36029","county"
"Erie County, New York",-78.8661589,42.9023958,"ImmediateRelatives-Spouses","32","Bangladesh",90.356331,23.684994,"36029","county"
"Erie County, New York",-78.8661589,42.9023958,"ImmediateRelatives-Children","D","Bangladesh",90.356331,23.684994,"36029","county"
"Erie County, New York",-78.8661589,42.9023958,"ImmediateRelatives-Parents","45","Bangladesh",90.356331,23.684994,"36029","county"
"Erie County, New York",-78.8661589,42.9023958,"FamilyPreference4th","36","Bangladesh",90.356331,23.684994,"36029","county"
"Erie County, New York",-78.8661589,42.9023958,"FamilyPreference2nd","16","Bangladesh",90.356331,23.684994,"36029","county"
"Erie County, New York",-78.8661589,42.9023958,"EmploymentPreference2nd","D","Bangladesh",90.356331,23.684994,"36029","county"
"Kings County, New York",-73.9441579,40.6781784,"EmploymentPreference4th","10","Bangladesh",90.356331,23.684994,"36047","county"
"Kings County, New York",-73.9441579,40.6781784,"EmploymentPreference3rdSkilled","D","Bangladesh",90.356331,23.684994,"36047","county"
"Kings County, New York",-73.9441579,40.6781784,"EmploymentPreference2nd","D","Bangladesh",90.356331,23.684994,"36047","county"
"Kings County, New York",-73.9441579,40.6781784,"EmploymentPreference1st","7","Bangladesh",90.356331,23.684994,"36047","county"
"Harris County, Texas",-95.3102505,29.7751825,"FamilyPreference2nd","6","Bangladesh",90.356331,23.684994,"48201","county"
"Harris County, Texas",-95.3102505,29.7751825,"EmploymentPreference3rdSkilled","6","Bangladesh",90.356331,23.684994,"48201","county"
"Harris County, Texas",-95.3102505,29.7751825,"EmploymentPreference2nd","9","Bangladesh",90.356331,23.684994,"48201","county"
"Tulsa County, Oklahoma",-95.940971,36.1593471,"EmploymentPreference4th","D","Bangladesh",90.356331,23.684994,"40143","county"
"Mecklenburg County, North Carolina",-80.8543847,35.2632655,"ImmediateRelatives-Children","D","Bangladesh",90.356331,23.684994,"37119","county"
"Milwaukee County, Wisconsin",-87.9065334,43.0387949,"RefugeeandAsyleeAdjustments","D","Bangladesh",90.356331,23.684994,"55079","county"
"Milwaukee County, Wisconsin",-87.9065334,43.0387949,"ImmediateRelatives-Parents","D","Bangladesh",90.356331,23.684994,"55079","county"
"Milwaukee County, Wisconsin",-87.9065334,43.0387949,"EmploymentPreference2nd","D","Bangladesh",90.356331,23.684994,"55079","county"
"Dauphin County, Pennsylvania",-76.7336521,40.2734277,"EmploymentPreference2nd","D","Bangladesh",90.356331,23.684994,"42043","county"
"Dauphin County, Pennsylvania",-76.7336521,40.2734277,"ImmediateRelatives-Spouses","D","Bangladesh",90.356331,23.684994,"42043","county"
"Dauphin County, Pennsylvania",-76.7336521,40.2734277,"ImmediateRelatives-Children","D","Bangladesh",90.356331,23.684994,"42043","county"
"Kent County, Michigan",-85.520024,43.0097027,"FamilyPreference4th","7","Bangladesh",90.356331,23.684994,"26081","county"
"Kent County, Michigan",-85.520024,43.0097027,"EmploymentPreference2nd","D","Bangladesh",90.356331,23.684994,"26081","county"
"Wayne County, Michigan",-83.336188,42.2790746,"ImmediateRelatives-Spouses","77","Bangladesh",90.356331,23.684994,"26163","county"
"Wayne County, Michigan",-83.336188,42.2790746,"ImmediateRelatives-Children","D","Bangladesh",90.356331,23.684994,"26163","county"
"Wayne County, Michigan",-83.336188,42.2790746,"ImmediateRelatives-Parents","84","Bangladesh",90.356331,23.684994,"26163","county"
"Wayne County, Michigan",-83.336188,42.2790746,"FamilyPreference4th","343","Bangladesh",90.356331,23.684994,"26163","county"
"Wayne County, Michigan",-83.336188,42.2790746,"EmploymentPreference4th","D","Bangladesh",90.356331,23.684994,"26163","county"
"Wayne County, Michigan",-83.336188,42.2790746,"FamilyPreference2nd","72","Bangladesh",90.356331,23.684994,"26163","county"
"Wayne County, Michigan",-83.336188,42.2790746,"FamilyPreference1st","D","Bangladesh",90.356331,23.684994,"26163","county"
"Wayne County, Michigan",-83.336188,42.2790746,"EmploymentPreference2nd","4","Bangladesh",90.356331,23.684994,"26163","county"
"Plymouth County, Massachusetts",-70.7168469,41.9120406,"ImmediateRelatives-Spouses","D","Bangladesh",90.356331,23.684994,"25023","county"
"Plymouth County, Massachusetts",-70.7168469,41.9120406,"ImmediateRelatives-Children","D","Bangladesh",90.356331,23.684994,"25023","county"
"Plymouth County, Massachusetts",-70.7168469,41.9120406,"ImmediateRelatives-Parents","D","Bangladesh",90.356331,23.684994,"25023","county"
"Lehigh County, Pennsylvania",-75.5742467,40.6519679,"ImmediateRelatives-Spouses","D","Bangladesh",90.356331,23.684994,"42077","county"
"Lehigh County, Pennsylvania",-75.5742467,40.6519679,"ImmediateRelatives-Parents","D","Bangladesh",90.356331,23.684994,"42077","county"
"Lehigh County, Pennsylvania",-75.5742467,40.6519679,"FamilyPreference2nd","D","Bangladesh",90.356331,23.684994,"42077","county"
"Bristol County, Massachusetts",-71.1448516,41.7938406,"ImmediateRelatives-Spouses","5","Bangladesh",90.356331,23.684994,"25005","county"
"Bristol County, Massachusetts",-71.1448516,41.7938406,"ImmediateRelatives-Children","D","Bangladesh",90.356331,23.684994,"25005","county"
"Bristol County, Massachusetts",-71.1448516,41.7938406,"ImmediateRelatives-Parents","4","Bangladesh",90.356331,23.684994,"25005","county"
"Bristol County, Massachusetts",-71.1448516,41.7938406,"FamilyPreference4th","D","Bangladesh",90.356331,23.684994,"25005","county"
"Orange County, Florida",-81.2518833,28.4844995,"FamilyPreference1st","D","Bangladesh",90.356331,23.684994,"12095","county"
"Orange County, Florida",-81.2518833,28.4844995,"EmploymentPreference3rdSkilled","D","Bangladesh",90.356331,23.684994,"12095","county"
"Orange County, Florida",-81.2518833,28.4844995,"EmploymentPreference2nd","D","Bangladesh",90.356331,23.684994,"12095","county"
"Camden County, New Jersey",-75.0143824,39.8592439,"FamilyPreference2nd","7","Bangladesh",90.356331,23.684994,"34007","county"
"Camden County, New Jersey",-75.0143824,39.8592439,"FamilyPreference1st","D","Bangladesh",90.356331,23.684994,"34007","county"
"Camden County, New Jersey",-75.0143824,39.8592439,"EmploymentPreference2nd","D","Bangladesh",90.356331,23.684994,"34007","county"
"Worcester County, Massachusetts",-71.8571331,42.4096528,"ImmediateRelatives-Spouses","D","Bangladesh",90.356331,23.684994,"25027","county"
"Worcester County, Massachusetts",-71.8571331,42.4096528,"ImmediateRelatives-Parents","10","Bangladesh",90.356331,23.684994,"25027","county"
"Jefferson County, Colorado",-105.2662931,39.5800298,"FamilyPreference4th","D","Bangladesh",90.356331,23.684994,"08059","county"
"Marion County, Indiana",-86.1751759,39.83619,"RefugeeandAsyleeAdjustments","D","Bangladesh",90.356331,23.684994,"18097","county"
"Marion County, Indiana",-86.1751759,39.83619,"ImmediateRelatives-Spouses","D","Bangladesh",90.356331,23.684994,"18097","county"
"Marion County, Indiana",-86.1751759,39.83619,"ImmediateRelatives-Children","D","Bangladesh",90.356331,23.684994,"18097","county"
"Marion County, Indiana",-86.1751759,39.83619,"FamilyPreference4th","8","Bangladesh",90.356331,23.684994,"18097","county"
"Fairfield County, Connecticut",-73.3708696,41.2559654,"FamilyPreference4th","29","Bangladesh",90.356331,23.684994,"09001","county"
"Fairfield County, Connecticut",-73.3708696,41.2559654,"FamilyPreference2nd","23","Bangladesh",90.356331,23.684994,"09001","county"
"Howard County, Maryland",-76.964306,39.2873463,"Other","D","Bangladesh",90.356331,23.684994,"24027","county"
"Howard County, Maryland",-76.964306,39.2873463,"ImmediateRelatives-Spouses","4","Bangladesh",90.356331,23.684994,"24027","county"
"Howard County, Maryland",-76.964306,39.2873463,"ImmediateRelatives-Parents","8","Bangladesh",90.356331,23.684994,"24027","county"
"Howard County, Maryland",-76.964306,39.2873463,"FamilyPreference4th","21","Bangladesh",90.356331,23.684994,"24027","county"
"Howard County, Maryland",-76.964306,39.2873463,"FamilyPreference3rd","4","Bangladesh",90.356331,23.684994,"24027","county"
"Howard County, Maryland",-76.964306,39.2873463,"FamilyPreference2nd","D","Bangladesh",90.356331,23.684994,"24027","county"
"Howard County, Maryland",-76.964306,39.2873463,"EmploymentPreference2nd","D","Bangladesh",90.356331,23.684994,"24027","county"
"San Joaquin County, California",-121.1710389,37.9175935,"ImmediateRelatives-Spouses","D","Bangladesh",90.356331,23.684994,"06077","county"
"Clark County, Washington",-122.5194378,45.7466471,"ImmediateRelatives-Spouses","D","Bangladesh",90.356331,23.684994,"53011","county"
"Clark County, Washington",-122.5194378,45.7466471,"ImmediateRelatives-Parents","D","Bangladesh",90.356331,23.684994,"53011","county"
"Allegheny County, Pennsylvania",-80.0087746,40.4450813,"ImmediateRelatives-Parents","D","Bangladesh",90.356331,23.684994,"42003","county"
"Allegheny County, Pennsylvania",-80.0087746,40.4450813,"FamilyPreference4th","D","Bangladesh",90.356331,23.684994,"42003","county"
"Polk County, Florida",-81.6911559,27.8617347,"ImmediateRelatives-Spouses","D","Bangladesh",90.356331,23.684994,"12105","county"
"Davidson County, Tennessee",-86.8220341,36.1342563,"ImmediateRelatives-Parents","4","Bangladesh",90.356331,23.684994,"47037","county"
"Davidson County, Tennessee",-86.8220341,36.1342563,"EmploymentPreference3rdSkilled","D","Bangladesh",90.356331,23.684994,"47037","county"
"Polk County, Florida",-81.6911559,27.8617347,"FamilyPreference4th","D","Bangladesh",90.356331,23.684994,"12105","county"
"Polk County, Florida",-81.6911559,27.8617347,"EmploymentPreference2nd","D","Bangladesh",90.356331,23.684994,"12105","county"
"Salt Lake County, Utah",-111.9522491,40.644188,"ImmediateRelatives-Parents","D","Bangladesh",90.356331,23.684994,"49035","county"
"Salt Lake County, Utah",-111.9522491,40.644188,"EmploymentPreference2nd","D","Bangladesh",90.356331,23.684994,"49035","county"
"Denver County, Colorado",-104.990251,39.7392358,"ImmediateRelatives-Spouses","D","Bangladesh",90.356331,23.684994,"08031","county"
"Denver County, Colorado",-104.990251,39.7392358,"ImmediateRelatives-Parents","D","Bangladesh",90.356331,23.684994,"08031","county"
"Tarrant County, Texas",-97.3516558,32.7732044,"ImmediateRelatives-Spouses","17","Bangladesh",90.356331,23.684994,"48439","county"
"Tarrant County, Texas",-97.3516558,32.7732044,"ImmediateRelatives-Parents","13","Bangladesh",90.356331,23.684994,"48439","county"
"Tarrant County, Texas",-97.3516558,32.7732044,"FamilyPreference4th","27","Bangladesh",90.356331,23.684994,"48439","county"
"Tarrant County, Texas",-97.3516558,32.7732044,"FamilyPreference2nd","5","Bangladesh",90.356331,23.684994,"48439","county"
"Essex County, Massachusetts",-70.9071236,42.7051144,"ImmediateRelatives-Spouses","7","Bangladesh",90.356331,23.684994,"25009","county"
"St. Louis County, Missouri",-90.4125181,38.6103023,"ImmediateRelatives-Spouses","D","Bangladesh",90.356331,23.684994,"29189","county"
"St. Louis County, Missouri",-90.4125181,38.6103023,"ImmediateRelatives-Parents","4","Bangladesh",90.356331,23.684994,"29189","county"
"Montgomery County, Ohio",-84.3542049,39.7620028,"ImmediateRelatives-Parents","D","Bangladesh",90.356331,23.684994,"39113","county"
"St. Louis County, Missouri",-90.4125181,38.6103023,"FamilyPreference2nd","6","Bangladesh",90.356331,23.684994,"29189","county"
"San Diego County, California",-117.1610966,32.7157305,"EmploymentPreference3rdSkilled","D","Bangladesh",90.356331,23.684994,"06073","county"
"San Diego County, California",-117.1610966,32.7157305,"EmploymentPreference2nd","13","Bangladesh",90.356331,23.684994,"06073","county"
"Los Angeles County, California",-118.2436596,34.0522265,"EmploymentPreference2nd","4","Bangladesh",90.356331,23.684994,"06037","county"
"Los Angeles County, California",-118.2436596,34.0522265,"EmploymentPreference1st","4","Bangladesh",90.356331,23.684994,"06037","county"
"Middlesex County, Massachusetts",-71.2874209,42.467206,"FamilyPreference1st","D","Bangladesh",90.356331,23.684994,"25017","county"
"Middlesex County, Massachusetts",-71.2874209,42.467206,"EmploymentPreference3rdSkilled","D","Bangladesh",90.356331,23.684994,"25017","county"
"Middlesex County, Massachusetts",-71.2874209,42.467206,"EmploymentPreference2nd","6","Bangladesh",90.356331,23.684994,"25017","county"
