CountyState,lon,lat,MajorClassAdmission,Admissions,CountryofBirth,originlon,originlat
"Ada County,  Idaho",-116.2420304,43.478767,EmploymentPreference2nd,D,Bangladesh,90.356331,23.684994
"Cuyahoga County,  Ohio",-81.67582,41.433923,EmploymentPreference2nd,D,Bangladesh,90.356331,23.684994
"Bergen County,  New Jersey",-74.07701,40.9262762,ImmediateRelatives-Spouses,D,Bangladesh,90.356331,23.684994
"Bergen County,  New Jersey",-74.07701,40.9262762,ImmediateRelatives-Children,D,Bangladesh,90.356331,23.684994
"Bergen County,  New Jersey",-74.07701,40.9262762,ImmediateRelatives-Parents,9,Bangladesh,90.356331,23.684994
"Bergen County,  New Jersey",-74.07701,40.9262762,FamilyPreference4th,18,Bangladesh,90.356331,23.684994
"Bergen County,  New Jersey",-74.07701,40.9262762,FamilyPreference2nd,D,Bangladesh,90.356331,23.684994
"Bergen County,  New Jersey",-74.07701,40.9262762,EmploymentPreference2nd,D,Bangladesh,90.356331,23.684994
"Bergen County,  New Jersey",-74.07701,40.9262762,EmploymentPreference1st,4,Bangladesh,90.356331,23.684994
"Santa Clara County,  California",-121.8907041,37.3336581,ImmediateRelatives-Parents,17,Bangladesh,90.356331,23.684994
"Santa Clara County,  California",-121.8907041,37.3336581,FamilyPreference4th,27,Bangladesh,90.356331,23.684994
"Santa Clara County,  California",-121.8907041,37.3336581,FamilyPreference2nd,D,Bangladesh,90.356331,23.684994
"Santa Clara County,  California",-121.8907041,37.3336581,FamilyPreference1st,D,Bangladesh,90.356331,23.684994
"Kings County,  New York",-73.9441579,40.6781784,RefugeeandAsyleeAdjustments,26,Bangladesh,90.356331,23.684994
"Erie County,  New York",-78.8661589,42.9023958,RefugeeandAsyleeAdjustments,D,Bangladesh,90.356331,23.684994
"Erie County,  New York",-78.8661589,42.9023958,Other,D,Bangladesh,90.356331,23.684994
"Erie County,  New York",-78.8661589,42.9023958,ImmediateRelatives-Spouses,32,Bangladesh,90.356331,23.684994
"Erie County,  New York",-78.8661589,42.9023958,ImmediateRelatives-Children,D,Bangladesh,90.356331,23.684994
"Erie County,  New York",-78.8661589,42.9023958,ImmediateRelatives-Parents,45,Bangladesh,90.356331,23.684994
"Erie County,  New York",-78.8661589,42.9023958,FamilyPreference4th,36,Bangladesh,90.356331,23.684994
"Erie County,  New York",-78.8661589,42.9023958,FamilyPreference2nd,16,Bangladesh,90.356331,23.684994
"Erie County,  New York",-78.8661589,42.9023958,EmploymentPreference2nd,D,Bangladesh,90.356331,23.684994
"Kings County,  New York",-73.9441579,40.6781784,EmploymentPreference4th,10,Bangladesh,90.356331,23.684994
"Kings County,  New York",-73.9441579,40.6781784,EmploymentPreference3rdSkilled,D,Bangladesh,90.356331,23.684994
"Kings County,  New York",-73.9441579,40.6781784,EmploymentPreference2nd,D,Bangladesh,90.356331,23.684994
"Kings County,  New York",-73.9441579,40.6781784,EmploymentPreference1st,7,Bangladesh,90.356331,23.684994
"Harris County,  Texas",-95.3102505,29.7751825,FamilyPreference2nd,6,Bangladesh,90.356331,23.684994
"Harris County,  Texas",-95.3102505,29.7751825,EmploymentPreference3rdSkilled,6,Bangladesh,90.356331,23.684994
"Harris County,  Texas",-95.3102505,29.7751825,EmploymentPreference2nd,9,Bangladesh,90.356331,23.684994
"Tulsa County,  Oklahoma",-95.940971,36.1593471,EmploymentPreference4th,D,Bangladesh,90.356331,23.684994
"Mecklenburg County,  North Carolina",-80.8543847,35.2632655,ImmediateRelatives-Children,D,Bangladesh,90.356331,23.684994
"Milwaukee County,  Wisconsin",-87.9065334,43.0387949,RefugeeandAsyleeAdjustments,D,Bangladesh,90.356331,23.684994
"Milwaukee County,  Wisconsin",-87.9065334,43.0387949,ImmediateRelatives-Parents,D,Bangladesh,90.356331,23.684994
"Milwaukee County,  Wisconsin",-87.9065334,43.0387949,EmploymentPreference2nd,D,Bangladesh,90.356331,23.684994
"Dauphin County,  Pennsylvania",-76.7336521,40.2734277,EmploymentPreference2nd,D,Bangladesh,90.356331,23.684994
"Dauphin County,  Pennsylvania",-76.7336521,40.2734277,ImmediateRelatives-Spouses,D,Bangladesh,90.356331,23.684994
"Dauphin County,  Pennsylvania",-76.7336521,40.2734277,ImmediateRelatives-Children,D,Bangladesh,90.356331,23.684994
"Kent County,  Michigan",-85.520024,43.0097027,FamilyPreference4th,7,Bangladesh,90.356331,23.684994
"Kent County,  Michigan",-85.520024,43.0097027,EmploymentPreference2nd,D,Bangladesh,90.356331,23.684994
"Wayne County,  Michigan",-83.336188,42.2790746,ImmediateRelatives-Spouses,77,Bangladesh,90.356331,23.684994
"Wayne County,  Michigan",-83.336188,42.2790746,ImmediateRelatives-Children,D,Bangladesh,90.356331,23.684994
"Wayne County,  Michigan",-83.336188,42.2790746,ImmediateRelatives-Parents,84,Bangladesh,90.356331,23.684994
"Wayne County,  Michigan",-83.336188,42.2790746,FamilyPreference4th,343,Bangladesh,90.356331,23.684994
"Wayne County,  Michigan",-83.336188,42.2790746,EmploymentPreference4th,D,Bangladesh,90.356331,23.684994
"Wayne County,  Michigan",-83.336188,42.2790746,FamilyPreference2nd,72,Bangladesh,90.356331,23.684994
"Wayne County,  Michigan",-83.336188,42.2790746,FamilyPreference1st,D,Bangladesh,90.356331,23.684994
"Wayne County,  Michigan",-83.336188,42.2790746,EmploymentPreference2nd,4,Bangladesh,90.356331,23.684994
"Plymouth County,  Massachusetts",-70.7168469,41.9120406,ImmediateRelatives-Spouses,D,Bangladesh,90.356331,23.684994
"Plymouth County,  Massachusetts",-70.7168469,41.9120406,ImmediateRelatives-Children,D,Bangladesh,90.356331,23.684994
"Plymouth County,  Massachusetts",-70.7168469,41.9120406,ImmediateRelatives-Parents,D,Bangladesh,90.356331,23.684994
"Saint Louis City County,  Missouri",-90.1994042,38.6270025,EmploymentPreference2nd,D,Bangladesh,90.356331,23.684994
"Lehigh County,  Pennsylvania",-75.5742467,40.6519679,ImmediateRelatives-Spouses,D,Bangladesh,90.356331,23.684994
"Lehigh County,  Pennsylvania",-75.5742467,40.6519679,ImmediateRelatives-Parents,D,Bangladesh,90.356331,23.684994
"Lehigh County,  Pennsylvania",-75.5742467,40.6519679,FamilyPreference2nd,D,Bangladesh,90.356331,23.684994
"Bristol County,  Massachusetts",-71.1448516,41.7938406,ImmediateRelatives-Spouses,5,Bangladesh,90.356331,23.684994
"Bristol County,  Massachusetts",-71.1448516,41.7938406,ImmediateRelatives-Children,D,Bangladesh,90.356331,23.684994
"Bristol County,  Massachusetts",-71.1448516,41.7938406,ImmediateRelatives-Parents,4,Bangladesh,90.356331,23.684994
"Bristol County,  Massachusetts",-71.1448516,41.7938406,FamilyPreference4th,D,Bangladesh,90.356331,23.684994
"Orange County,  Florida",-81.2518833,28.4844995,FamilyPreference1st,D,Bangladesh,90.356331,23.684994
"Orange County,  Florida",-81.2518833,28.4844995,EmploymentPreference3rdSkilled,D,Bangladesh,90.356331,23.684994
"Orange County,  Florida",-81.2518833,28.4844995,EmploymentPreference2nd,D,Bangladesh,90.356331,23.684994
"Camden County,  New Jersey",-75.0143824,39.8592439,FamilyPreference2nd,7,Bangladesh,90.356331,23.684994
"Camden County,  New Jersey",-75.0143824,39.8592439,FamilyPreference1st,D,Bangladesh,90.356331,23.684994
"Camden County,  New Jersey",-75.0143824,39.8592439,EmploymentPreference2nd,D,Bangladesh,90.356331,23.684994
"District of Columbia County,  District of Columbia",-77.0368707,38.9071923,ImmediateRelatives-Parents,5,Bangladesh,90.356331,23.684994
"Worcester County,  Massachusetts",-71.8571331,42.4096528,ImmediateRelatives-Spouses,D,Bangladesh,90.356331,23.684994
"Worcester County,  Massachusetts",-71.8571331,42.4096528,ImmediateRelatives-Parents,10,Bangladesh,90.356331,23.684994
"Jefferson County,  Colorado",-105.2662931,39.5800298,FamilyPreference4th,D,Bangladesh,90.356331,23.684994
"Marion County,  Indiana",-86.1751759,39.83619,RefugeeandAsyleeAdjustments,D,Bangladesh,90.356331,23.684994
"Marion County,  Indiana",-86.1751759,39.83619,ImmediateRelatives-Spouses,D,Bangladesh,90.356331,23.684994
"Marion County,  Indiana",-86.1751759,39.83619,ImmediateRelatives-Children,D,Bangladesh,90.356331,23.684994
"Marion County,  Indiana",-86.1751759,39.83619,FamilyPreference4th,8,Bangladesh,90.356331,23.684994
"Fairfield County,  Connecticut",-73.3708696,41.2559654,FamilyPreference4th,29,Bangladesh,90.356331,23.684994
"Fairfield County,  Connecticut",-73.3708696,41.2559654,FamilyPreference2nd,23,Bangladesh,90.356331,23.684994
"Howard County,  Maryland",-76.964306,39.2873463,Other,D,Bangladesh,90.356331,23.684994
"Howard County,  Maryland",-76.964306,39.2873463,ImmediateRelatives-Spouses,4,Bangladesh,90.356331,23.684994
"Howard County,  Maryland",-76.964306,39.2873463,ImmediateRelatives-Parents,8,Bangladesh,90.356331,23.684994
"Howard County,  Maryland",-76.964306,39.2873463,FamilyPreference4th,21,Bangladesh,90.356331,23.684994
"Howard County,  Maryland",-76.964306,39.2873463,FamilyPreference3rd,4,Bangladesh,90.356331,23.684994
"Howard County,  Maryland",-76.964306,39.2873463,FamilyPreference2nd,D,Bangladesh,90.356331,23.684994
"Howard County,  Maryland",-76.964306,39.2873463,EmploymentPreference2nd,D,Bangladesh,90.356331,23.684994
"Prince Georges County,  Maryland",-76.8720961,38.7849211,FamilyPreference2nd,15,Bangladesh,90.356331,23.684994
"San Joaquin County,  California",-121.1710389,37.9175935,ImmediateRelatives-Spouses,D,Bangladesh,90.356331,23.684994
"Clark County,  Washington",-122.5194378,45.7466471,ImmediateRelatives-Spouses,D,Bangladesh,90.356331,23.684994
"Clark County,  Washington",-122.5194378,45.7466471,ImmediateRelatives-Parents,D,Bangladesh,90.356331,23.684994
"Allegheny County,  Pennsylvania",-80.0087746,40.4450813,ImmediateRelatives-Parents,D,Bangladesh,90.356331,23.684994
"Allegheny County,  Pennsylvania",-80.0087746,40.4450813,FamilyPreference4th,D,Bangladesh,90.356331,23.684994
"Polk County,  Florida",-81.6911559,27.8617347,ImmediateRelatives-Spouses,D,Bangladesh,90.356331,23.684994
"Davidson County,  Tennessee",-86.8220341,36.1342563,ImmediateRelatives-Parents,4,Bangladesh,90.356331,23.684994
"Davidson County,  Tennessee",-86.8220341,36.1342563,EmploymentPreference3rdSkilled,D,Bangladesh,90.356331,23.684994
"Polk County,  Florida",-81.6911559,27.8617347,FamilyPreference4th,D,Bangladesh,90.356331,23.684994
"Polk County,  Florida",-81.6911559,27.8617347,EmploymentPreference2nd,D,Bangladesh,90.356331,23.684994
"Salt Lake County,  Utah",-111.9522491,40.644188,ImmediateRelatives-Parents,D,Bangladesh,90.356331,23.684994
"Salt Lake County,  Utah",-111.9522491,40.644188,EmploymentPreference2nd,D,Bangladesh,90.356331,23.684994
"Denver County,  Colorado",-104.990251,39.7392358,ImmediateRelatives-Spouses,D,Bangladesh,90.356331,23.684994
"Denver County,  Colorado",-104.990251,39.7392358,ImmediateRelatives-Parents,D,Bangladesh,90.356331,23.684994
"Tarrant County,  Texas",-97.3516558,32.7732044,ImmediateRelatives-Spouses,17,Bangladesh,90.356331,23.684994
